               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 121,            0.023948,           0.0090345,                   0,             0.81529,             0.84211,             0.87336,             0.39578,            0.039812,            0.022302,                   0,              0.0046,              0.0046,              0.0046
                 122,            0.023857,           0.0088363,                   0,             0.84155,             0.83871,             0.85068,             0.41934,            0.039849,            0.021592,                   0,            0.004555,            0.004555,            0.004555
                 123,             0.02358,           0.0089767,                   0,             0.75295,             0.78947,             0.78065,             0.37771,            0.041787,            0.021843,                   0,             0.00451,             0.00451,             0.00451
                 124,            0.023445,            0.008897,                   0,             0.75508,             0.76316,             0.81813,             0.40703,            0.040836,            0.020326,                   0,            0.004465,            0.004465,            0.004465
                 125,            0.023356,           0.0088222,                   0,             0.81427,             0.80773,             0.85399,             0.40729,            0.040777,            0.020401,                   0,             0.00442,             0.00442,             0.00442
                 126,            0.023437,           0.0087468,                   0,             0.80357,             0.81579,             0.87369,              0.4176,            0.041195,            0.019498,                   0,            0.004375,            0.004375,            0.004375
                 127,            0.023378,           0.0087087,                   0,             0.84328,             0.84977,             0.90634,             0.42587,            0.038958,            0.019456,                   0,             0.00433,             0.00433,             0.00433
                 128,            0.023281,           0.0087707,                   0,             0.84392,             0.76316,             0.85305,             0.41432,             0.04021,            0.019926,                   0,            0.004285,            0.004285,            0.004285
                 129,             0.02283,           0.0087315,                   0,             0.85679,             0.81579,             0.84075,             0.41367,            0.041922,            0.020059,                   0,             0.00424,             0.00424,             0.00424
                 130,            0.022527,           0.0084131,                   0,             0.88272,             0.79233,             0.86708,               0.405,            0.040557,            0.020721,                   0,            0.004195,            0.004195,            0.004195
                 131,            0.022944,           0.0086589,                   0,             0.88891,             0.76316,              0.8924,             0.42842,            0.041837,            0.019461,                   0,             0.00415,             0.00415,             0.00415
                 132,            0.022542,           0.0086094,                   0,             0.80256,             0.76316,             0.84246,             0.40485,            0.041978,            0.021293,                   0,            0.004105,            0.004105,            0.004105
                 133,            0.022543,           0.0084772,                   0,             0.85694,             0.78821,             0.82107,             0.41108,            0.040507,            0.020828,                   0,             0.00406,             0.00406,             0.00406
                 134,            0.022155,            0.008523,                   0,             0.87121,             0.78947,             0.88767,             0.42708,             0.03991,             0.02038,                   0,            0.004015,            0.004015,            0.004015
                 135,            0.021912,           0.0083661,                   0,             0.80774,             0.81579,             0.83881,             0.39942,            0.042379,            0.021357,                   0,             0.00397,             0.00397,             0.00397
                 136,            0.022253,           0.0086137,                   0,             0.73907,             0.76316,             0.79445,             0.41179,            0.040977,            0.020577,                   0,            0.003925,            0.003925,            0.003925
                 137,            0.022091,           0.0085121,                   0,             0.77623,             0.76316,             0.77467,             0.38658,            0.041172,             0.02077,                   0,             0.00388,             0.00388,             0.00388
                 138,            0.022214,           0.0084319,                   0,             0.78679,             0.78947,             0.79807,             0.39794,            0.041448,            0.019616,                   0,            0.003835,            0.003835,            0.003835
                 139,            0.021664,           0.0082246,                   0,             0.82967,             0.76923,             0.82487,             0.40057,            0.042279,            0.020673,                   0,             0.00379,             0.00379,             0.00379
                 140,            0.021335,           0.0083327,                   0,             0.78766,             0.78106,             0.82612,             0.39357,            0.042035,            0.020102,                   0,            0.003745,            0.003745,            0.003745
                 141,            0.021536,           0.0082573,                   0,             0.75397,             0.73684,             0.78947,             0.39146,            0.042189,            0.021336,                   0,              0.0037,              0.0037,              0.0037
                 142,            0.021182,           0.0079202,                   0,             0.84533,             0.78947,             0.86557,             0.39733,            0.041388,            0.021234,                   0,            0.003655,            0.003655,            0.003655
                 143,            0.021126,            0.008294,                   0,             0.76716,             0.78947,             0.83056,             0.38595,            0.041522,            0.021672,                   0,             0.00361,             0.00361,             0.00361
